Time,Filename,Model,doc_type,doc_company,P1 · 姓名,P1 · 報價號碼,P1 · 繳費期限,P1 · 信用卡卡號,P1 · 有效期限,P1 · 信用卡種類,P1 · 繳費號碼,P1 · 立書日期,P1 · 付款金額,P1 · 持卡人身分證,P1 · 發卡銀行,P1 · 持卡聯絡人電話,P1 · 授權碼,P1 · 要保人簽名,P1 · 持卡人簽名,P1 · 授權人簽名,P1 · 業務服務人員,P1 · 服務人員簽名,P1 · 被保險人,P1 · 卡號,P1 · 有效日期,P1 · 信用卡發卡單位,P1 · 角費號碼,P1 · 銀行,P1 · 身分證號碼,doc_matched_template,doc_anchor_score,doc_all_scores,P1 · 區域1,P1 · 區域2,P1 · 區域3,P1 · 區域4,P1 · 區域5,P1 · 判斷點1,P1 · 判斷點2
2026-04-20 11:48:24,classic,信用卡授權書,傳統模板識別,信用卡授權書,被保险人：朱開纲基圆,报價號码：00251R10010502551,组賫期限：2025/12/18,周卡卡號：5678103487803314,有效日期（西元）：08月≥8年,信用卡種類：□ VISA □ MASTER □ JCB,缴费码：5352290022,立書日期：14年2月7日,付款金額：30.117元,将卡人身分經號码：276543212（請將必填写）,卡銀行：冒邦銀行,待十人进络电话：0928714503,授權码（由保险公司填写）：843288,"参保人签名（请到委征书签名相间）：
姚 + 佑",陳昱遠,陳是誌,"承辦人：陳眠琳
電話：02-23812727",禁思合,,,,,,,,,,,,,,,,,
2026-05-06 13:30:26,classic,自填表,傳統模板識別,自填表,,"{
  ""document_info"": {
    ""document_type"": ""Document Reference/ID"",
    ""primary_entity_name"": ""Unknown""
  },
  ""blocks"": [
    {
      ""block_title"": ""Document Identification"",
      ""elements"": [
        {
          ""type"": ""field"",
          ""label"": ""Reference Number"",
          ""value"": ""：00251E10010502551""
        }
      ]
    }
  ]
}","{
  ""document_info"": {
    ""document_type"": ""Date Fragment"",
    ""primary_entity_name"": ""N/A""
  },
  ""blocks"": [
    {
      ""block_title"": ""Date Information"",
      ""elements"": [
        {
          ""type"": ""text_block"",
          ""content"": ""2025/12/18""
        }
      ]
    }
  ]
}",,,,,"{
  ""document_info"": {
    ""document_type"": ""日期片段"",
    ""primary_entity_name"": ""未辨識""
  },
  ""blocks"": [
    {
      ""block_title"": ""日期資訊"",
      ""elements"": [
        {
          ""type"": ""field"",
          ""label"": ""日期"",
          ""value"": ""1 1 4 年 1 2 月 1 7日""
        }
      ]
    }
  ]
}","{
  ""document_info"": {
    ""document_type"": ""片段數據 (金額資訊)"",
    ""primary_entity_name"": ""未知""
  },
  ""blocks"": [
    {
      ""block_title"": ""提取內容"",
      ""elements"": [
        {
          ""type"": ""field"",
          ""label"": ""金額"",
          ""value"": ""30.117元""
        }
      ]
    }
  ]
}","{
  ""document_info"": {
    ""document_type"": ""單一識別碼/編號"",
    ""primary_entity_name"": ""未辨識""
  },
  ""blocks"": [
    {
      ""block_title"": ""識別碼內容"",
      ""elements"": [
        {
          ""type"": ""field"",
          ""label"": ""編號"",
          ""value"": ""276543217""
        }
      ]
    }
  ]
}",,,,"{
  ""document_info"": {
    ""document_type"": ""未知片段 (Unknown Fragment)"",
    ""primary_entity_name"": ""未知 (Unknown)""
  },
  ""blocks"": [
    {
      ""block_title"": ""提取內容"",
      ""elements"": [
        {
          ""type"": ""text_block"",
          ""content"": ""机化+估""
        }
      ]
    }
  ]
}",,,,,"{
  ""document_info"": {
    ""document_type"": ""無法辨識之文字片段 (Unidentifiable text fragment)"",
    ""primary_entity_name"": ""未知""
  },
  ""blocks"": [
    {
      ""block_title"": ""提取內容"",
      ""elements"": [
        {
          ""type"": ""text_block"",
          ""content"": ""：米閴鈥基圖""
        }
      ]
    }
  ]
}","{
  ""document_info"": {
    ""document_type"": ""Numerical Identifier"",
    ""primary_entity_name"": ""Unknown""
  },
  ""blocks"": [
    {
      ""block_title"": ""Identifier Information"",
      ""elements"": [
        {
          ""type"": ""field"",
          ""label"": ""ID/Serial Number"",
          ""value"": ""5678103487803314""
        }
      ]
    }
  ]
}","{
  ""document_info"": {
    ""document_type"": ""日期片段 (Date Fragment)"",
    ""primary_entity_name"": ""未辨識""
  },
  ""blocks"": [
    {
      ""block_title"": ""日期資訊"",
      ""elements"": [
        {
          ""type"": ""field"",
          ""label"": ""日期"",
          ""value"": ""08月28日""
        }
      ]
    }
  ]
}","{
  ""document_info"": {
    ""document_type"": ""支付資訊欄位"",
    ""primary_entity_name"": ""未提供""
  },
  ""blocks"": [
    {
      ""block_title"": ""卡片資訊"",
      ""elements"": [
        {
          ""type"": ""checkbox"",
          ""label"": ""位置卡種類"",
          ""options"": [
            {
              ""text"": ""VISA"",
              ""selected"": false
            },
            {
              ""text"": ""MASTER"",
              ""selected"": false
            },
            {
              ""text"": ""JCB"",
              ""selected"": false
            }
          ]
        }
      ]
    }
  ]
}","{
  ""document_info"": {
    ""document_type"": ""Numeric Identifier"",
    ""primary_entity_name"": ""N/A""
  },
  ""blocks"": [
    {
      ""block_title"": ""Identifier Information"",
      ""elements"": [
        {
          ""type"": ""field"",
          ""label"": ""ID/Number"",
          ""value"": ""5352290022""
        }
      ]
    }
  ]
}","{
  ""document_info"": {
    ""document_type"": ""銀行文件標題/內容"",
    ""primary_entity_name"": ""冒邦銀行""
  },
  ""blocks"": [
    {
      ""block_title"": ""文件內容"",
      ""elements"": [
        {
          ""type"": ""text_block"",
          ""content"": ""冒邦銀行""
        }
      ]
    }
  ]
}",,,,,,,,,,,
2026-05-06 13:31:20,classic,自填表,傳統模板識別,自填表,,：00251E10010502551,2025/12/18,,,,,1 1 4 年 1 2 月 1 7 日,30.117元,276543217,,,,机化+估,,,,,：求閩鈥基圖,5678103487803314,：08月28日,位用卡種類：VISA MASTER JCB,5352290022,冒邦銀行,,,,,,,,,,,
2026-05-06 15:16:12,classic,自填表,傳統模板識別,自填表,,：00251E10010502551,2025/12/18,,,,,1 1 4 年 1 2 月 1 7 日,30.117元,276543217,,,,410+10,,,,,：求圆钢基圆,5678103487803314,：08月28日,位置卡種類：VISA MASTER JCB,5352290022,冒邦銀行,,,,,,,,,,,
2026-05-06 15:23:10,classic,測試1,傳統模板識別,測試1,人：朱圆纲基圆,,,,,,,,,,,,,,,,,,,,,,,,：00251R10010502551,,,,,,,,,,
2026-05-06 15:23:11,classic,測試1,傳統模板識別,測試1,人：朱圆纲基圆,,,,,,,,,,,,,,,,,,,,,,,,：00251R10010502551,,,,,,,,,,
2026-05-06 15:24:11,classic,測試1,傳統模板識別,測試1,"基於圖片中的影像，這是一段非常模糊的文字。經過仔細辨認，最有可能的文字內容如下：

**人：陳間胡基園**

由於圖片解析度較低且有模糊現象，部分字元可能存在其他解讀的可能性。以下是逐字的詳細分析與可能的替代字：

*   **人：** 這部分相對清晰。
*   **陳：** 左側有部首，右側為「東」，最可能是「陳」，也可能是「棟」。
*   **間：** 外框為「門」，內部模糊，最常見的組合是「間」，也可能是「閣」或「開」。
*   **胡：** 左側似「古」，右側為「月」，推測為「胡」，也有些微可能是「明」。
*   **基：** 上方似「其」，下方為「土」，這個字相對容易辨認。
*   **園：** 外框為「囗」（大口），內部筆畫複雜，推測為「園」，也可能是「圖」或「國」。

**結論：**
圖片中**只有文字，沒有發現數字**。最可能的文字組合為「**人：陳間胡基園**」。",,,,,,,,,,,,,,,,,,,,,,,,"根據圖片內容，為您整理出可辨識的文字與數字（包含英文字母）：

*   **上方被截斷的文字**（推測為）：**付款授權書**
*   **下方的字串**：**00251RI0010502551**

*(註：字串中 `R` 後面的字元依字體形狀判斷較像是大寫英文字母 `I`，但因圖片略為模糊，也有可能是數字 `1`。)*",,,,,,,,,,
2026-05-08 10:19:06,auto_detect,TT,自動識別,TT,,,,,,,,,,,,,,,,,,,,,,,,,,TT,173,{'TT': 173},"這張圖片非常模糊，辨識難度很高。根據圖片的視覺輪廓判斷：

1. **沒有發現數字**。
2. 圖片中是一排中文字，最有可能的文字是：**東開朗基國**

*(備註：由於圖片解析度極低，部分字體可能存在誤差。例如第二個字也有點像「莞」，最後一個字輪廓也類似「園」或「團」，但單純以目前的字形筆畫來看，「東開朗基國」是最接近的判斷。)*","圖片中的文字與數字為：

**00251R10010502551**","圖片中的數字是：

**5678 1034 8780 3314**","圖片中的文字與數字組合起來是：

**08月28**

詳細拆解如下：
*   **數字**：0、8、2、8
*   **文字**：月

（註：最左邊有一個冒號「:」，最右邊看起來像是一個手繪的星號或特殊記號，但主要可辨識的文字與數字內容為上述的日期。）","圖片中的文字與數字為：

**2025/12/18**",,
2026-05-11 08:51:38,auto_detect,TT,自動識別,TT,,,,,,,,,,,,,,,,,,,,,,,,,,TT,97,{'TT': 97},東間的基國,00251R10010502551,5678 1034 8780 3314,:081284,: 2025/12/18,,
2026-05-11 09:54:04,auto_detect,TT,自動識別,TT,,,,,,,,,,,,,,,,,,,,,,,,,,TT,93,{'TT': 93},東園研基國,00251R10010502551,5678 1034 8780 3314,08H284,: 2025/12/18,,
